angle,speed_l,speed_r,v_pwm,w_pwm
0.000000,55.098099,354656.000000,0.005046,-0.028738
0.000000,55.097881,354657.000000,0.005063,-0.043997
0.000000,55.097809,354658.000000,0.005021,-0.013479
0.000000,55.098831,354659.000000,0.006322,0.161997
0.000000,55.099171,354660.000000,0.004827,0.070444
0.000000,55.099899,354661.000000,0.004920,0.146738
0.000000,55.100422,354662.000000,0.004806,0.108591
0.000000,55.100719,354663.000000,0.004825,0.062815
0.000000,55.101219,354664.000000,0.004937,0.100961
0.000000,55.101082,354665.000000,0.004745,-0.028738
0.000000,55.101051,354666.000000,0.004997,-0.005850
0.000000,55.101250,354667.000000,0.005088,0.039926
0.000000,55.101860,354668.000000,0.004923,0.123850
0.000000,55.101978,354669.000000,0.004749,0.024668
0.000000,55.101990,354670.000000,0.004933,0.001779
0.000000,55.101231,354671.000000,0.005323,-0.143179
0.000000,55.101341,354672.000000,0.006571,0.017038
0.000000,55.101139,354673.000000,0.005304,-0.036368
0.000000,55.101151,354674.000000,0.004987,0.001779
0.000000,55.101429,354675.000000,0.004987,0.055185
0.000000,55.101238,354676.000000,0.005070,-0.036368
0.000000,55.101849,354677.000000,0.004884,0.123850
0.000000,55.102150,354678.000000,0.004816,0.062815
0.000000,55.101780,354679.000000,0.004979,-0.074515
0.000000,55.100800,354680.000000,0.005005,-0.196585
0.000000,55.101391,354681.000000,0.004782,0.123850
0.000000,55.101719,354682.000000,0.004774,0.070444
0.000000,55.102741,354683.000000,0.004907,0.207773
0.000000,55.102928,354684.000000,0.004796,0.039926
0.000000,55.102600,354685.000000,0.004935,-0.066885
0.000000,55.102421,354686.000000,0.005007,-0.036368
0.000000,55.102119,354687.000000,0.005004,-0.059256
0.000000,55.102242,354688.000000,0.004934,0.024668
0.000000,55.102509,354689.000000,0.004914,0.055185
0.000000,55.102001,354690.000000,0.004913,-0.105032
0.000000,55.102089,354691.000000,0.005121,0.017038
0.000000,55.102322,354692.000000,0.005010,0.047556
0.000000,55.101479,354693.000000,0.005328,-0.158438
0.000000,55.101070,354694.000000,0.006174,-0.066885
0.000000,55.101189,354695.000000,0.005054,0.024668
0.000000,55.101158,354696.000000,0.005064,-0.005850
0.000000,55.101330,354697.000000,0.005071,0.032297
0.000000,55.101002,354698.000000,0.004896,-0.066885
0.000000,55.101009,354699.000000,0.005034,0.001779
0.000000,55.101200,354700.000000,0.004871,0.039926
0.000000,55.101391,354701.000000,0.004888,0.039926
0.000000,55.101070,354702.000000,0.004922,-0.066885
0.000000,55.100731,354703.000000,0.004976,-0.066885
0.000000,55.100060,354704.000000,0.004944,-0.135550
0.000000,55.100361,354705.000000,0.004811,0.062815
0.000000,55.100491,354706.000000,0.004924,0.024668
0.000000,55.100719,354707.000000,0.004966,0.047556
0.000000,55.100471,354708.000000,0.004919,-0.051626
0.000000,55.101151,354709.000000,0.004932,0.139108
0.000000,55.101379,354710.000000,0.004845,0.047556
0.000000,55.101810,354711.000000,0.005454,0.078073
0.000000,55.100990,354712.000000,0.004935,-0.166067
0.000000,55.102268,354713.000000,0.006379,0.200144
0.000000,55.102680,354714.000000,0.005284,0.078073
0.000000,55.102810,354715.000000,0.005037,0.024668
0.000000,55.103039,354716.000000,0.004969,0.047556
0.000000,55.102299,354717.000000,0.004945,-0.150808
0.000000,55.102200,354718.000000,0.004817,-0.021109
0.000000,55.102200,354719.000000,0.005009,0.001779
0.000000,55.102058,354720.000000,0.004898,-0.028738
0.000000,55.102180,354721.000000,0.004938,0.024668
0.000000,55.102421,354722.000000,0.005001,0.047556
0.000000,55.102360,354723.000000,0.004910,-0.013479
0.000000,55.102211,354724.000000,0.004981,-0.028738
0.000000,55.101952,354725.000000,0.005004,-0.051626
0.000000,55.102039,354726.000000,0.004883,0.017038
0.000000,55.101711,354727.000000,0.004916,-0.066885
0.000000,55.102280,354728.000000,0.004919,0.116220
0.000000,55.102791,354729.000000,0.004756,0.108591
0.000000,55.103031,354730.000000,0.006057,0.039926
0.000000,55.102551,354731.000000,0.005387,-0.089773
0.000000,55.101749,354732.000000,0.005329,-0.150808
0.000000,55.102169,354733.000000,0.004921,0.085703
0.000000,55.102589,354734.000000,0.004907,0.085703
0.000000,55.102600,354735.000000,0.005093,0.001779
0.000000,55.102638,354736.000000,0.004973,0.009409
0.000000,55.102840,354737.000000,0.005017,0.039926
0.000000,55.102661,354738.000000,0.004968,-0.036368
0.000000,55.102520,354739.000000,0.005027,-0.028738
0.000000,55.102409,354740.000000,0.004981,-0.021109
0.000000,55.102421,354741.000000,0.004981,0.001779
0.000000,55.102428,354742.000000,0.004972,0.001779
0.000000,55.102551,354743.000000,0.004919,0.024668
0.000000,55.102558,354744.000000,0.004908,0.001779
0.000000,55.102570,354745.000000,0.005000,0.001779
0.000000,55.103298,354746.000000,0.005011,0.146738
0.000000,55.103451,354747.000000,0.004731,0.032297
0.000000,55.103580,354748.000000,0.005009,0.024668
0.000000,55.102570,354749.000000,0.004938,-0.204214
0.000000,55.103279,354750.000000,0.004845,0.146738
0.000000,55.102989,354751.000000,0.004882,-0.059256
0.000000,55.102711,354752.000000,0.005428,-0.051626
0.000000,55.102188,354753.000000,0.005308,-0.097403
0.000000,55.101971,354754.000000,0.004998,-0.043997
0.000000,55.101780,354755.000000,0.005103,-0.036368
0.000000,55.101871,354756.000000,0.004983,0.017038
0.000000,55.101952,354757.000000,0.004950,0.017038
0.000000,55.102261,354758.000000,0.004969,0.062815
0.000000,55.102570,354759.000000,0.004942,0.062815
0.000000,55.102810,354760.000000,0.004959,0.047556
0.000000,55.102859,354761.000000,0.004986,0.009409
0.000000,55.103920,354762.000000,0.005106,0.207773
0.000000,55.104179,354763.000000,0.004755,0.055185
0.000000,55.103958,354764.000000,0.004899,-0.043997
0.000000,55.104130,354765.000000,0.005023,0.032297
0.000000,55.104568,354766.000000,0.006300,0.070444
0.000000,55.105099,354767.000000,0.004925,0.108591
0.000000,55.104752,354768.000000,0.004734,-0.074515
0.000000,55.104912,354769.000000,0.004912,0.032297
0.000000,55.104881,354770.000000,0.004906,-0.005850
0.000000,55.105511,354771.000000,0.005106,0.123850
0.000000,55.105560,354772.000000,0.005141,0.009409
0.000000,55.105820,354773.000000,0.005479,0.047556
0.000000,55.105301,354774.000000,0.004975,-0.105032
0.000000,55.105381,354775.000000,0.004891,0.017038
0.000000,55.105171,354776.000000,0.004954,-0.043997
0.000000,55.104870,354777.000000,0.005038,-0.059256
0.000000,55.105030,354778.000000,0.004973,0.032297
0.000000,55.105640,354779.000000,0.004923,0.123850
0.000000,55.105541,354780.000000,0.004789,-0.021109
0.000000,55.105320,354781.000000,0.004951,-0.043997
0.000000,55.105030,354782.000000,0.004938,-0.059256
0.000000,55.105190,354783.000000,0.004994,0.032297
0.000000,55.104698,354784.000000,0.004988,-0.097403
0.000000,55.104599,354785.000000,0.004984,-0.021109
0.000000,55.104382,354786.000000,0.004915,-0.043997
0.000000,55.104080,354787.000000,0.005004,-0.059256
0.000000,55.104801,354788.000000,0.004890,0.146738
0.000000,55.103851,354789.000000,0.004806,-0.196585
0.000000,55.104641,354790.000000,0.004852,0.161997
0.000000,55.104679,354791.000000,0.004798,0.009409
0.000000,55.104061,354792.000000,0.005516,-0.112662
0.000000,55.103149,354793.000000,0.004826,-0.188956
0.000000,55.103241,354794.000000,0.005136,0.017038
0.000000,55.103050,354795.000000,0.005091,-0.036368
0.000000,55.103809,354796.000000,0.004889,0.154367
0.000000,55.104069,354797.000000,0.004871,0.055185
0.000000,55.103600,354798.000000,0.004903,-0.097403
0.000000,55.103569,354799.000000,0.004986,-0.005850
0.000000,55.103020,354800.000000,0.005157,-0.105032
0.000000,55.103321,354801.000000,0.006176,0.047556
0.000000,55.103142,354802.000000,0.004965,-0.036368
0.000000,55.102760,354803.000000,0.005018,-0.074515
0.000000,55.103271,354804.000000,0.004980,0.100961
0.000000,55.103642,354805.000000,0.004808,0.078073
0.000000,55.103569,354806.000000,0.004974,-0.013479
0.000000,55.103809,354807.000000,0.004970,0.047556
0.000000,55.104198,354808.000000,0.005012,0.078073
0.000000,55.104622,354809.000000,0.004832,0.085703
0.000000,55.103828,354810.000000,0.004953,-0.158438
0.000000,55.104279,354811.000000,0.004787,0.093332
0.000000,55.103870,354812.000000,0.004973,-0.082144
0.000000,55.103191,354813.000000,0.005301,-0.127920
0.000000,55.102531,354814.000000,0.005177,-0.127920
0.000000,55.103100,354815.000000,0.004915,0.116220
0.000000,55.103149,354816.000000,0.004849,0.009409
0.000000,55.102730,354817.000000,0.005115,-0.082144
